GAME_DATE,HOME_TEAM,AWAY_TEAM,H2H_GAMES,H2H_HOME_WINS,H2H_AVG_MARGIN
2018-11-30,Miami Heat,New Orleans Pelicans,0,0,0.0
2018-11-30,Oklahoma City Thunder,Atlanta Hawks,0,0,0.0
2018-11-30,San Antonio Spurs,Houston Rockets,1,1,7.0
2018-11-30,Phoenix Suns,Orlando Magic,0,0,0.0
2018-11-30,Los Angeles Lakers,Dallas Mavericks,1,1,1.0
2018-11-30,Portland Trail Blazers,Denver Nuggets,0,0,0.0
2018-12-01,Houston Rockets,Chicago Bulls,1,1,-8.0
2018-12-01,Minnesota Timberwolves,Boston Celtics,0,0,0.0
2018-12-01,Sacramento Kings,Indiana Pacers,0,0,0.0
2018-12-01,Washington Wizards,Brooklyn Nets,1,0,-11.0
2018-12-01,Detroit Pistons,Golden State Warriors,0,0,0.0
2018-12-01,New York Knicks,Milwaukee Bucks,1,0,11.0
2018-12-01,Cleveland Cavaliers,Toronto Raptors,1,0,12.0
2018-12-02,Los Angeles Lakers,Phoenix Suns,1,1,-18.0
2018-12-02,Charlotte Hornets,New Orleans Pelicans,0,0,0.0
2018-12-02,Miami Heat,Utah Jazz,0,0,0.0
2018-12-02,Philadelphia 76ers,Memphis Grizzlies,1,0,6.0
2018-12-02,Dallas Mavericks,LA Clippers,0,0,0.0
2018-12-02,San Antonio Spurs,Portland Trail Blazers,1,0,13.0
2018-12-03,New Orleans Pelicans,LA Clippers,1,1,7.0
2018-12-03,Minnesota Timberwolves,Houston Rockets,0,0,0.0
2018-12-03,Toronto Raptors,Denver Nuggets,0,0,0.0
2018-12-03,New York Knicks,Washington Wizards,1,0,13.0
2018-12-03,Brooklyn Nets,Cleveland Cavaliers,1,1,-16.0
2018-12-03,Atlanta Hawks,Golden State Warriors,1,0,7.0
2018-12-03,Detroit Pistons,Oklahoma City Thunder,0,0,0.0
2018-12-04,Indiana Pacers,Chicago Bulls,1,1,-2.0
2018-12-04,Miami Heat,Orlando Magic,1,0,3.0
2018-12-04,Dallas Mavericks,Portland Trail Blazers,0,0,0.0
2018-12-04,Phoenix Suns,Sacramento Kings,0,0,0.0
2018-12-04,Utah Jazz,San Antonio Spurs,0,0,0.0
2018-12-05,Los Angeles Lakers,San Antonio Spurs,2,0,1.5
2018-12-05,New Orleans Pelicans,Dallas Mavericks,0,0,0.0
2018-12-05,Minnesota Timberwolves,Charlotte Hornets,0,0,0.0
2018-12-05,Milwaukee Bucks,Detroit Pistons,0,0,0.0
2018-12-05,Memphis Grizzlies,LA Clippers,1,0,5.0
2018-12-05,Brooklyn Nets,Oklahoma City Thunder,0,0,0.0
2018-12-05,Atlanta Hawks,Washington Wizards,0,0,0.0
2018-12-05,Orlando Magic,Denver Nuggets,1,0,25.0
2018-12-05,Cleveland Cavaliers,Golden State Warriors,0,0,0.0
2018-12-05,Toronto Raptors,Philadelphia 76ers,1,1,17.0
2018-12-06,Boston Celtics,New York Knicks,2,1,-5.0
2018-12-06,Portland Trail Blazers,Phoenix Suns,0,0,0.0
2018-12-06,Utah Jazz,Houston Rockets,1,1,-11.0
2018-12-07,Chicago Bulls,Oklahoma City Thunder,0,0,0.0
2018-12-07,Milwaukee Bucks,Golden State Warriors,1,1,-23.0
2018-12-07,Phoenix Suns,Miami Heat,0,0,0.0
2018-12-07,San Antonio Spurs,Los Angeles Lakers,3,2,3.6666666666666665
2018-12-07,New Orleans Pelicans,Memphis Grizzlies,0,0,0.0
2018-12-07,Orlando Magic,Indiana Pacers,0,0,0.0
2018-12-07,Brooklyn Nets,Toronto Raptors,0,0,0.0
2018-12-07,Detroit Pistons,Philadelphia 76ers,2,1,5.5
2018-12-07,Charlotte Hornets,Denver Nuggets,0,0,0.0
2018-12-07,Cleveland Cavaliers,Sacramento Kings,0,0,0.0
2018-12-08,Chicago Bulls,Boston Celtics,1,0,29.0
2018-12-08,Portland Trail Blazers,Minnesota Timberwolves,2,1,23.0
2018-12-08,Memphis Grizzlies,Los Angeles Lakers,0,0,0.0
2018-12-08,New York Knicks,Brooklyn Nets,2,1,10.5
2018-12-08,LA Clippers,Miami Heat,0,0,0.0
2018-12-08,Atlanta Hawks,Denver Nuggets,1,0,45.0
2018-12-08,Indiana Pacers,Sacramento Kings,1,0,1.0
2018-12-08,Dallas Mavericks,Houston Rockets,1,1,-20.0
2018-12-08,Cleveland Cavaliers,Washington Wizards,1,0,24.0
2018-12-09,New York Knicks,Charlotte Hornets,0,0,0.0
2018-12-09,San Antonio Spurs,Utah Jazz,1,0,34.0
2018-12-09,Detroit Pistons,New Orleans Pelicans,0,0,0.0
2018-12-09,Toronto Raptors,Milwaukee Bucks,1,0,15.0
2018-12-10,Indiana Pacers,Washington Wizards,0,0,0.0
2018-12-10,Philadelphia 76ers,Detroit Pistons,3,2,1.6666666666666667
2018-12-10,Boston Celtics,New Orleans Pelicans,1,1,-17.0
2018-12-10,Chicago Bulls,Sacramento Kings,0,0,0.0
2018-12-10,Milwaukee Bucks,Cleveland Cavaliers,0,0,0.0
2018-12-10,Oklahoma City Thunder,Utah Jazz,0,0,0.0
2018-12-10,Dallas Mavericks,Orlando Magic,0,0,0.0
2018-12-10,Denver Nuggets,Memphis Grizzlies,1,0,2.0
2018-12-10,Phoenix Suns,LA Clippers,1,0,16.0
